1554451200000,10
1554454800000,25
1554458400000,25
1554462000000,22
1554465600000,35
1554469200000,31
1554472800000,29
1554476400000,31
1554480000000,26
1554483600000,37
1554487200000,32
1554490800000,27
1554494400000,28
1554498000000,24
1554501600000,16
1554505200000,19
1554508800000,13
1554512400000,24
1554516000000,24
1554519600000,16
1554523200000,12
1554526800000,26
1554530400000,24
1554534000000,14
1554537600000,23
1554541200000,23
1554544800000,21
1554548400000,24
1554552000000,30
1554555600000,27
1554559200000,34
1554562800000,40
1554566400000,33
1554570000000,45
1554573600000,35
1554577200000,39
1554580800000,36
1554584400000,24
1554588000000,20
1554591600000,19
1554595200000,13
1554598800000,15
1554602400000,21
1554606000000,22
1554609600000,13
1554613200000,15
1554616800000,28
1554620400000,24
1554624000000,35
1554627600000,21
1554631200000,32
1554634800000,21
1554638400000,28
1554642000000,34
1554645600000,38
1554649200000,46
1554652800000,38
1554656400000,44
1554660000000,32
1554663600000,29
1554667200000,28
1554670800000,25
1554674400000,25
1554678000000,20
1554681600000,13
1554685200000,20
1554688800000,17
1554692400000,19
1554696000000,17
1554699600000,19
1554703200000,13
1554706800000,13
1554710400000,10
1554714000000,21
1554717600000,24
1554721200000,38
1554724800000,23
1554728400000,35
1554732000000,49
1554735600000,36
1554739200000,25
1554742800000,41
1554746400000,31
1554750000000,36
1554753600000,27
1554757200000,22
1554760800000,18
1554764400000,23
1554768000000,14
1554771600000,17
1554775200000,16
1554778800000,18
1554782400000,14
1554786000000,19
1554789600000,19
1554793200000,28
1554796800000,17
1554800400000,17
1554804000000,23
1554807600000,29
1554811200000,23
1554814800000,31
1554818400000,42
1554822000000,48
1554825600000,35
1554829200000,31
1554832800000,33
1554836400000,29
1554840000000,20
1554843600000,15
1554847200000,12
1554850800000,14
1554854400000,20
1554858000000,26
1554861600000,23
1554865200000,18
1554868800000,13
1554872400000,15
1554876000000,26
1554879600000,21
1554883200000,15
1554886800000,20
1554890400000,20
1554894000000,42
1554897600000,30
1554901200000,32
1554904800000,33
1554908400000,39
1554912000000,36
1554915600000,34
1554919200000,34
1554922800000,29
1554926400000,26
1554930000000,26
1554933600000,17
1554937200000,27
1554940800000,23
1554944400000,34
1554948000000,32
1554951600000,26
1554955200000,26
1554958800000,24
1554962400000,24
1554966000000,23
1554969600000,14
1554973200000,24
1554976800000,35
1554980400000,33
1554984000000,37
1554987600000,42
1554991200000,49
1554994800000,36
1554998400000,44
1555002000000,34
1555005600000,35
1555009200000,38
1555012800000,38
1555016400000,33
1555020000000,33
1555023600000,32
1555027200000,42
1555030800000,40
1555034400000,30
1555038000000,23
1555041600000,23
1555045200000,15
1555048800000,30
1555052400000,29
1555056000000,19
